-80.00,-80.00,0.08
-75.00,-154.99,0.14
-70.00,-225.02,0.21
-65.00,-290.01,0.30
-60.00,-349.99,0.41
-55.00,-404.97,0.50
-50.00,-455.01,0.60
-45.00,-499.99,0.70
-40.00,-539.91,0.77
-35.00,-574.89,0.84
-30.00,-604.87,0.92
-25.00,-629.87,0.98
-20.00,-649.89,1.02
-15.00,-664.90,1.05
-10.00,-674.89,1.07
-5.00,-679.89,1.07
0.00,-679.90,1.07
5.00,-674.89,1.07
10.00,-664.89,1.09
15.00,-649.89,1.11
20.00,-629.91,1.15
25.00,-604.90,1.19
30.00,-574.85,1.24
35.00,-539.79,1.29
40.00,-499.78,1.32
45.00,-454.80,1.37
50.00,-404.83,1.40
55.00,-349.88,1.43
60.00,-289.88,1.45
65.00,-224.89,1.46
70.00,-154.89,1.47
75.00,-79.89,1.47
80.00,0.12,1.47
